Audoux	O	-
-	O	-
De	O	-
la	O	-
ville	O	-
au	O	-
moulin	O	-
1	O	-
5	O	-
-	O	-
20	O	-
I	O	-
Pour	O	-
la	O	-
seconde	O	-
fois	O	-
,	O	-
j'	O	-
ouvris	O	-
les	O	-
yeux	O	-
sans	O	-
reconnaître	O	-
l'	O	-
endroit	O	-
où	O	-
je	O	-
me	O	-
trouvais	O	-
couchée	O	-
.	O	-
Où	O	-
donc	O	-
était	O	-
notre	O	-
chambre	O	-
d'	O	-
enfant	O	-
,	O	-
avec	O	-
sa	O	-
fenêtre	O	-
grillagée	O	-
,	O	-
ses	O	-
murs	O	-
tapissés	O	-
de	O	-
papier	O	-
à	O	-
grosses	O	-
fleurs	O	-
,	O	-
et	O	-
sa	O	-
cheminée	O	-
tout	O	-
encombrée	O	-
de	O	-
photographies	O	-
?	O	-
Ici	O	-
c'	O	-
était	O	-
une	O	-
longue	O	-
salle	O	-
aux	O	-
murs	O	-
blancs	O	-
,	O	-
où	O	-
s'	O	-
alignaient	O	-
deux	O	-
rangées	O	-
de	O	-
petits	O	-
lits	O	-
et	O	-
où	O	-
s'	O	-
ouvraient	O	-
de	O	-
hautes	O	-
et	O	-
larges	O	-
fenêtres	O	-
laissant	O	-
voir	O	-
de	O	-
grands	O	-
carrés	O	-
de	O	-
ciel	O	-
bleu	O	-
.	O	-
J'	O	-
abaissai	O	-
de	O	-
nouveau	O	-
les	O	-
paupières	O	-
,	O	-
espérant	O	-
que	O	-
tout	O	-
cela	O	-
disparaîtrait	O	-
et	O	-
que	O	-
j'	O	-
allais	O	-
me	O	-
retrouver	O	-
chez	O	-
mes	O	-
parents	O	-
,	O	-
dans	O	-
la	O	-
pièce	O	-
un	O	-
peu	O	-
sombre	O	-
où	O	-
étaient	O	-
les	O	-
lits	O	-
de	O	-
mes	O	-
frères	O	-
et	O	-
sœurs	O	-
,	O	-
et	O	-
dans	O	-
tous	O	-
les	O	-
coins	O	-
,	O	-
entassés	O	-
pêle	O	-
-	O	-
mêle	O	-
,	O	-
des	O	-
jouets	O	-
de	O	-
toutes	O	-
sortes	O	-
et	O	-
