Bouvard	B-PER	O	O	O	O	
et	I-PER	O	O	O	O	
Pécuchet,	I-PER	O	O	O	O	
éd.	O	O	O	O	O	
Conard,	O	O	O	O	O	
1910	O	O	O	O	O	
3	O	O	O	O	O	
1-	O	O	O	O	O	

I	O	O	O	O	O	

Comme	O	O	O	O	O	
il	O	O	O	O	O	
faisait	O	O	O	O	O	
une	O	O	O	O	O	
chaleur	O	O	O	O	O	
de	O	O	O	O	O	
33	O	O	O	O	O	
degrés,	O	O	O	O	O	
le	B-FAC	O	O	O	O	
boulevard	I-FAC	O	O	O	O	
Bourdon	I-FAC	O	O	O	O	
se	I-FAC	O	O	O	O	
trouvait	O	O	O	O	O	
absolument	O	O	O	O	O	
désert.	O	O	O	O	O	

Plus	O	O	O	O	O	
bas,	O	O	O	O	O	
le	B-FAC	O	O	O	O	
canal	I-FAC	O	O	O	O	
Saint-Martin,	I-FAC	O	O	O	O	
fermé	O	O	O	O	O	
par	O	O	O	O	O	
les	B-FAC	O	O	O	O	
deux	I-FAC	O	O	O	O	
écluses,	I-FAC	O	O	O	O	
étalait	O	O	O	O	O	
en	O	O	O	O	O	
ligne	O	O	O	O	O	
droite	O	O	O	O	O	
son	O	O	O	O	O	
eau	O	O	O	O	O	
couleur	O	O	O	O	O	
d'encre.	O	O	O	O	O	
Il	O	O	O	O	O	
y	O	O	O	O	O	
avait	O	O	O	O	O	
au	O	O	O	O	O	
milieu	O	O	O	O	O	
un	B-FAC	O	O	O	O	
bateau	I-FAC	O	O	O	O	
plein	I-FAC	O	O	O	O	
de	I-FAC	O	O	O	O	
bois,	I-FAC	O	O	O	O	
et	O	O	O	O	O	
sur	O	O	O	O	O	
la	B-LOC	O	O	O	O	
berge	I-LOC	O	O	O	O	
deux	I-LOC	O	O	O	O	
rangs	O	O	O	O	O	
de	O	O	O	O	O	
barriques.	O	O	O	O	O	

Au	O	O	O	O	O	
delà	O	O	O	O	O	
du	B-FAC	O	O	O	O	
canal,	I-FAC	O	O	O	O	
entre	O	O	O	O	O	
les	B-FAC	O	O	O	O	
maisons	I-FAC	O	O	O	O	
que	I-FAC	O	O	O	O	
séparent	O	O	O	O	O	
des	B-FAC	O	O	O	O	
chantiers,	I-FAC	O	O	O	O	
le	O	O	O	O	O	
grand	O	O	O	O	O	
ciel	O	O	O	O	O	
pur	O	O	O	O	O	
se	O	O	O	O	O	
découpait	O	O	O	O	O	
en	O	O	O	O	O	
plaques	O	O	O	O	O	
d'outremer,	O	O	O	O	O	
et	O	O	O	O	O	
sous	O	O	O	O	O	
la	O	O	O	O	O	
réverbération	O	O	O	O	O	
du	B-LOC	O	O	O	O	
soleil,	I-LOC	O	O	O	O	
les	O	O	O	O	O	
façades	O	O	O	O	O	
blanches,	O	O	O	O	O	
les	O	O	O	O	O	
toits	O	O	O	O	O	
d'ardoises,	O	O	O	O	O	
les	B-FAC	O	O	O	O	
quais	I-FAC	O	O	O	O	
de	I-FAC	O	O	O	O	
granit	I-FAC	O	O	O	O	
éblouissaient.	I-FAC	O	O	O	O	
Une	O	O	O	O	O	
rumeur	O	O	O	O	O	
confuse	O	O	O	O	O	
montait	O	O	O	O	O	
au	O	O	O	O	O	
loin	O	O	O	O	O	
dans	O	O	O	O	O	
l'atmosphère	O	O	O	O	O	
tiède	O	O	O	O	O	
;	O	O	O	O	O	
et	O	O	O	O	O	
tout	O	O	O	O	O	
semblait	O	O	O	O	O	
engourdi	O	O	O	O	O	
par	O	O	O	O	O	
le	O	O	O	O	O	
désœuvrement	O	O	O	O	O	
du	O	O	O	O	O	
dimanche	O	O	O	O	O	
et	O	O	O	O	O	
la	O	O	O	O	O	
tristesse	O	O	O	O	O	
des	O	O	O	O	O	
jours	O	O	O	O	O	
d'été.	O	O	O	O	O	

Deux	B-PER	O	O	O	O	
hommes	I-PER	O	O	O	O	
parurent.	I-PER	O	O	O	O	

L'un	B-PER	O	O	O	O	
venait	I-PER	O	O	O	O	
de	O	O	O	O	O	
la	B-LOC	O	O	O	O	
Bastille,	I-LOC	O	O	O	O	
l'autre	O	O	O	O	O	
du	B-FAC	O	O	O	O	
Jardin	I-FAC	O	O	O	O	
des	I-FAC	O	O	O	O	
Plantes.	I-FAC	O	O	O	O	
Le	O	O	O	O	O	
plus	O	O	O	O	O	
grand,	O	O	O	O	O	
vêtu	O	O	O	O	O	
de	O	O	O	O	O	
toile,	O	O	O	O	O	
marchait	O	O	O	O	O	
le	O	O	O	O	O	
chapeau	O	O	O	O	O	
en	O	O	O	O	O	
arrière,	O	O	O	O	O	
le	O	O	O	O	O	
gilet	O	O	O	O	O	
déboutonné	O	O	O	O	O	
et	O	O	O	O	O	
sa	O	O	O	O	O	
cravate	O	O	O	O	O	
à	O	O	O	O	O	
la	O	O	O	O	O	
main.	O	O	O	O	O	
Le	O	O	O	O	O	
plus	O	O	O	O	O	
petit,	O	O	O	O	O	
dont	O	O	O	O	O	
le	O	O	O	O	O	
corps	O	O	O	O	O	
disparaissait	O	O	O	O	O	
dans	O	O	O	O	O	
une	O	O	O	O	O	
redingote	O	O	O	O	O	
marron,	O	O	O	O	O	
baissait	O	O	O	O	O	
la	O	O	O	O	O	
tête	O	O	O	O	O	
sous	O	O	O	O	O	
une	O	O	O	O	O	
casquette	O	O	O	O	O	
à	O	O	O	O	O	
visière	O	O	O	O	O	
pointue.	O	O	O	O	O	

Quand	O	O	O	O	O	
ils	O	O	O	O	O	
furent	O	O	O	O	O	
arrivés	O	O	O	O	O	
au	O	B-LOC	O	O	O	
milieu	O	I-LOC	O	O	O	
du	B-FAC	I-LOC	O	O	O	
boulevard,	I-FAC	I-LOC	O	O	O	
ils	O	O	O	O	O	
s'assirent,	O	O	O	O	O	
à	O	O	O	O	O	
la	B-TIME	O	O	O	O	
même	I-TIME	O	O	O	O	
minute,	I-TIME	O	O	O	O	
sur	O	O	O	O	O	
le	O	O	O	O	O	
même	O	O	O	O	O	
banc.	O	O	O	O	O	

Pour	O	O	O	O	O	
s'essuyer	O	O	O	O	O	
le	O	O	O	O	O	
front,	O	O	O	O	O	
ils	O	O	O	O	O	
retirèrent	O	O	O	O	O	
leurs	O	O	O	O	O	
coiffures,	O	O	O	O	O	
que	O	O	O	O	O	
chacun	O	O	O	O	O	
posa	O	O	O	O	O	
près	O	O	O	O	O	
de	O	O	O	O	O	
soi	O	O	O	O	O	
;	O	O	O	O	O	
et	O	O	O	O	O	
le	B-PER	O	O	O	O	
petit	I-PER	O	O	O	O	
homme	I-PER	O	O	O	O	
aperçut,	I-PER	O	O	O	O	
écrit	O	O	O	O	O	
dans	O	O	O	O	O	
le	O	O	O	O	O	
chapeau	O	O	O	O	O	
de	O	O	O	O	O	
son	B-PER	O	O	O	O	
voisin	I-PER	O	O	O	O	
:	I-PER	O	O	O	O	
Bouvard	O	O	O	O	O	
;	O	O	O	O	O	
pendant	O	O	O	O	O	
que	O	O	O	O	O	
celui-ci	O	O	O	O	O	
distinguait	O	O	O	O	O	
aisément	O	O	O	O	O	
dans	O	O	O	O	O	
la	O	O	O	O	O	
casquette	O	O	O	O	O	
du	B-PER	O	O	O	O	
particulier	I-PER	O	O	O	O	
en	I-PER	O	O	O	O	
redingote	I-PER	O	O	O	O	
le	I-PER	O	O	O	O	
mot	O	O	O	O	O	
:	O	O	O	O	O	
Pécuchet.	O	O	O	O	O	

—	O	O	O	O	O	
Tiens,	O	O	O	O	O	
dit-il,	O	O	O	O	O	
nous	O	O	O	O	O	
avons	O	O	O	O	O	
eu	O	O	O	O	O	
la	O	O	O	O	O	
même	O	O	O	O	O	
idée,	O	O	O	O	O	
celle	O	O	O	O	O	
d'inscrire	O	O	O	O	O	
notre	O	O	O	O	O	
nom	O	O	O	O	O	
dans	O	O	O	O	O	
nos	O	O	O	O	O	
couvre-chefs.	O	O	O	O	O	

—	O	O	O	O	O	
Mon	O	O	O	O	O	
Dieu,	O	O	O	O	O	
oui,	O	O	O	O	O	
on	O	O	O	O	O	
pourrait	O	O	O	O	O	
prendre	O	O	O	O	O	
le	O	O	O	O	O	
mien	O	O	O	O	O	
à	O	O	O	O	O	
mon	B-FAC	O	O	O	O	
bureau	I-FAC	O	O	O	O	
!	I-FAC	O	O	O	O	

—	O	O	O	O	O	
C'est	O	O	O	O	O	
comme	O	O	O	O	O	
moi,	O	O	O	O	O	
je	O	O	O	O	O	
suis	O	O	O	O	O	
employé.	O	O	O	O	O	

Alors	O	O	O	O	O	
ils	O	O	O	O	O	
se	O	O	O	O	O	
considérèrent.	O	O	O	O	O	

L'aspect	O	O	O	O	O	
aimable	O	O	O	O	O	
de	O	O	O	O	O	
Bouvard	B-PER	O	O	O	O	
charma	I-PER	O	O	O	O	
de	O	O	O	O	O	
suite	O	O	O	O	O	
Pécuchet.	B-PER	O	O	O	O	

Ses	O	O	O	O	O	
yeux	O	O	O	O	O	
bleuâtres,	O	O	O	O	O	
toujours	O	O	O	O	O	
entre-clos,	O	O	O	O	O	
souriaient	O	O	O	O	O	
dans	O	O	O	O	O	
son	O	O	O	O	O	
visage	O	O	O	O	O	
coloré.	O	O	O	O	O	
Un	O	O	O	O	O	
pantalon	O	O	O	O	O	
à	O	O	O	O	O	
grand-pont,	O	O	O	O	O	
qui	O	O	O	O	O	
godait	O	O	O	O	O	
par	O	O	O	O	O	
le	O	O	O	O	O	
bas	O	O	O	O	O	
sur	O	O	O	O	O	
des	O	O	O	O	O	
souliers	O	O	O	O	O	
de	O	O	O	O	O	
castor,	O	O	O	O	O	
moulait	O	O	O	O	O	
son	O	O	O	O	O	
ventre,	O	O	O	O	O	
faisait	O	O	O	O	O	
bouffer	O	O	O	O	O	
sa	O	O	O	O	O	
chemise	O	O	O	O	O	
à	O	O	O	O	O	
la	O	O	O	O	O	
ceinture	O	O	O	O	O	
;	O	O	O	O	O	
et	O	O	O	O	O	
ses	O	O	O	O	O	
cheveux	O	O	O	O	O	
blonds,	O	O	O	O	O	
frisés	O	O	O	O	O	
d'eux-mêmes	O	O	O	O	O	
en	O	O	O	O	O	
boucles	O	O	O	O	O	
légères,	O	O	O	O	O	
lui	O	O	O	O	O	
