George	O	O	-
Sand	O	O	-
Nouvelle	O	O	-
ÉDition	O	O	-
Paris	O	O	-
Calmann	O	O	-
LÉVy	O	O	-
,	O	O	-
ÉDiteur	O	O	-
Ancienne	O	O	-
Maison	O	O	-
Michel	O	O	-
LÉVy	O	O	-
FrÈRes	O	O	-
3	O	O	-
,	O	O	-
rue	O	O	-
auber	O	O	-
,	O	O	-
3	O	O	-
—	O	O	-
1881	O	O	-
Droits	O	O	-
de	O	O	-
reproduction	O	O	-
et	O	O	-
de	O	O	-
traduction	O	O	-
réservés	O	O	-
I	O	O	-
Il	O	O	-
y	O	O	-
a	O	O	-
trois	B-TIME	O	34
ans	I-TIME	O	-
,	O	O	-
il	O	O	-
arriva	O	O	-
à	O	O	-
Saint	B-GPE	O	34
-	I-GPE	O	-
Front	I-GPE	O	-
,	O	O	-
petite	O	O	-
ville	O	O	-
fort	O	O	-
laide	O	O	-
qui	O	O	-
est	O	O	-
située	O	O	-
dans	O	O	-
nos	B-LOC	O	34
environs	I-LOC	O	-
et	O	O	-
que	O	O	-
je	O	O	-
ne	O	O	-
vous	O	O	-
engage	O	O	-
pas	O	O	-
à	O	O	-
chercher	O	O	-
sur	O	O	-
la	O	O	-
carte	O	O	-
,	O	O	-
même	O	O	-
sur	O	O	-
celle	O	O	-
de	O	O	-
Cassini	B-PER	O	34
,	O	O	-
une	B-TIME	O	34
aventure	I-TIME	O	-
qui	O	O	-
fit	O	O	-
beaucoup	O	O	-
jaser	O	O	-
,	O	O	-
quoiqu'	O	O	-
elle	O	O	-
n'	O	O	-
eût	O	O	-
rien	O	O	-
de	O	O	-
bien	O	O	-
intéressant	O	O	-
par	O	O	-
elle	O	O	-
-	O	O	-
même	O	O	-
,	O	O	-
mais	O	O	-
dont	O	O	-
les	O	O	-
suites	O	O	-
,	O	O	-
furent	O	O	-
fort	O	O	-
graves	O	O	-
,	O	O	-
quoiqu'	O	O	-
on	O	O	-
n'	O	O	-
en	O	O	-
ait	O	O	-
rien	O	O	-
su	O	O	-
.	O	O	-
C'	O	O	-
était	O	O	-
par	O	O	-
une	B-TIME	O	34
nuit	I-TIME	O	-
sombre	I-TIME	O	-
et	O	O	-
par	O	O	-
une	O	O	-
pluie	O	O	-
froide	O	O	-
.	O	O	-
Une	B-VEH	O	34
chaise	I-VEH	O	-
de	I-VEH	O	-
poste	I-VEH	O	-
entra	O	O	-
dans	O	O	-
la	O	B-FAC	34
cour	O	I-FAC	-
de	O	I-FAC	-
l'	B-FAC	I-FAC	34
auberge	I-FAC	I-FAC	-
du	I-FAC	I-FAC	-
Lion	I-FAC	I-FAC	-
-	I-FAC	I-FAC	-
Couronné	I-FAC	I-FAC	-
.	O	O	-
Une	O	O	-
voix	O	O	-
de	O	O	-
femme	B-PER	O	34
demanda	O	O	-
des	B-VEH	O	34
chevaux	I-VEH	O	-
,	O	O	-
vite	O	O	-
,	O	O	-
vite	O	O	-
!	O	O	-
…	O	O	-
Le	B-PER	O	34
postillon	I-PER	O	-
vint	O	O	-
lui	O	O	-
répondre	O	O	-
fort	O	O	-
lentement	O	O	-
que	O	O	-
cela	O	O	-
était	O	O	-
facile	O	O	-
à	O	O	-
dire	O	O	-
;	O	O	-
qu'	O	O	-
il	O	O	-
n'	O	O	-
y	O	O	-
avait	O	O	-
pas	O	O	-
de	O	O	-
chevaux	B-VEH	O	34
,	O	O	-
vu	O	O	-
que	O	O	-
l'	B-TIME	O	34
épidémie	I-TIME	O	-
(	O	O	-
cette	O	O	-
même	O	O	-
épidémie	O	O	-
qui	O	O	-
est	O	O	-
en	O	O	-
permanence	O	O	-
dans	O	O	-
certains	O	B-FAC	34
relais	O	I-FAC	-
sur	O	I-FAC	-
les	B-FAC	I-FAC	34
routes	I-FAC	I-FAC	-
peu	I-FAC	I-FAC	-
fréquentées	I-FAC	I-FAC	-
)	O	O	-
en	O	O	-
avait	O	O	-
enlevé	O	O	-
trente	O	O	-
-	O	O	-
sept	O	O	-
la	B-TIME	O	34
semaine	I-TIME	O	-
dernière	I-TIME	O	-
;	O	O	-
qu'	O	O	-
enfin	O	O	-
on	O	O	-
pourrait	O	O	-
partir	O	O	-
dans	O	O	-
la	B-TIME	O	34
nuit	I-TIME	O	-
,	O	O	-
mais	O	O	-
qu'	O	O	-
il	O	O	-
fallait	O	O	-
attendre	O	O	-
que	O	O	-
l'	B-VEH	O	34
attelage	I-VEH	O	-
qui	O	O	-
venait	O	O	-
de	O	O	-
conduire	O	O	-
la	B-VEH	O	34
patache	I-VEH	O	-
fût	O	O	-
un	O	O	-
peu	O	O	-
rafraîchi	O	O	-
.	O	O	-
—	O	O	-
Cela	O	O	-
sera	O	O	-
-	O	O	-
t	O	O	-
-	O	O	-
il	O	O	-
bien	O	O	-
long	O	O	-
?	O	O	-
demanda	O	O	-
le	B-PER	O	34
laquais	I-PER	O	-
empaqueté	I-PER	O	-
de	I-PER	O	-
fourrures	I-PER	O	-
qui	O	O	-
était	O	O	-
installé	O	O	-
sur	O	O	-
le	O	O	-
siége	O	O	-
.	O	O	-
—	O	O	-

rue	O	O	-
auber	O	O	-
,	O	O	-
3	O	O	-
—	O	O	-
1881	O	O	-
Droits	O	O	-
de	O	O	-
reproduction	O	O	-
et	O	O	-
de	O	O	-
traduction	O	O	-
réservés	O	O	-
I	O	O	-
Il	O	O	-
y	O	O	-
a	O	O	-
trois	B-TIME	O	18
ans	I-TIME	O	-
,	O	O	-
il	O	O	-
arriva	O	O	-
à	O	O	-
Saint	B-GPE	O	18
-	I-GPE	O	-
Front	I-GPE	O	-
,	O	O	-
petite	O	O	-
ville	O	O	-
fort	O	O	-
laide	O	O	-
qui	O	O	-
est	O	O	-
située	O	O	-
dans	O	O	-
nos	B-LOC	O	18
environs	I-LOC	O	-
et	O	O	-
que	O	O	-
je	O	O	-
ne	O	O	-
vous	O	O	-
engage	O	O	-
pas	O	O	-
à	O	O	-
chercher	O	O	-
sur	O	O	-
la	O	O	-
carte	O	O	-
,	O	O	-
même	O	O	-
sur	O	O	-
celle	O	O	-
de	O	O	-
Cassini	B-PER	O	18
,	O	O	-
une	B-TIME	O	18
aventure	I-TIME	O	-
qui	O	O	-
fit	O	O	-
beaucoup	O	O	-
jaser	O	O	-
,	O	O	-
quoiqu'	O	O	-
elle	O	O	-
n'	O	O	-
eût	O	O	-
rien	O	O	-
de	O	O	-
bien	O	O	-
intéressant	O	O	-
par	O	O	-
elle	O	O	-
-	O	O	-
même	O	O	-
,	O	O	-
mais	O	O	-
dont	O	O	-
les	O	O	-
suites	O	O	-
,	O	O	-
furent	O	O	-
fort	O	O	-
graves	O	O	-
,	O	O	-
quoiqu'	O	O	-
on	O	O	-
n'	O	O	-
en	O	O	-
ait	O	O	-
rien	O	O	-
su	O	O	-
.	O	O	-
C'	O	O	-
était	O	O	-
par	O	O	-
une	B-TIME	O	18
nuit	I-TIME	O	-
sombre	I-TIME	O	-
et	O	O	-
par	O	O	-
une	O	O	-
pluie	O	O	-
froide	O	O	-
.	O	O	-
Une	B-VEH	O	18
chaise	I-VEH	O	-
de	I-VEH	O	-
poste	I-VEH	O	-
entra	O	O	-
dans	O	O	-
la	O	B-FAC	18
cour	O	I-FAC	-
de	O	I-FAC	-
l'	B-FAC	I-FAC	18
auberge	I-FAC	I-FAC	-
du	I-FAC	I-FAC	-
Lion	I-FAC	I-FAC	-
-	I-FAC	I-FAC	-
Couronné	I-FAC	I-FAC	-
.	O	O	-
Une	O	O	-
voix	O	O	-
de	O	O	-
femme	B-PER	O	18
demanda	O	O	-
des	B-VEH	O	18
chevaux	I-VEH	O	-
,	O	O	-
vite	O	O	-
,	O	O	-
vite	O	O	-
!	O	O	-
…	O	O	-
Le	B-PER	O	18
postillon	I-PER	O	-
vint	O	O	-
lui	O	O	-
répondre	O	O	-
fort	O	O	-
lentement	O	O	-
que	O	O	-
cela	O	O	-
était	O	O	-
facile	O	O	-
à	O	O	-
dire	O	O	-
;	O	O	-
qu'	O	O	-
il	O	O	-
n'	O	O	-
y	O	O	-
avait	O	O	-
pas	O	O	-
de	O	O	-
chevaux	B-VEH	O	18
,	O	O	-
vu	O	O	-
que	O	O	-
l'	B-TIME	O	18
épidémie	I-TIME	O	-
(	O	O	-
cette	O	O	-
même	O	O	-
épidémie	O	O	-
qui	O	O	-
est	O	O	-
en	O	O	-
permanence	O	O	-
dans	O	O	-
certains	O	B-FAC	18
relais	O	I-FAC	-
sur	O	I-FAC	-
les	B-FAC	I-FAC	18
routes	I-FAC	I-FAC	-
peu	I-FAC	I-FAC	-
fréquentées	I-FAC	I-FAC	-
)	O	O	-
en	O	O	-
avait	O	O	-
enlevé	O	O	-
trente	O	O	-
-	O	O	-
sept	O	O	-
la	B-TIME	O	18
semaine	I-TIME	O	-
dernière	I-TIME	O	-
;	O	O	-
qu'	O	O	-
enfin	O	O	-
on	O	O	-
pourrait	O	O	-
partir	O	O	-
dans	O	O	-
la	B-TIME	O	18
nuit	I-TIME	O	-
,	O	O	-
mais	O	O	-
qu'	O	O	-
il	O	O	-
fallait	O	O	-
attendre	O	O	-
que	O	O	-
l'	B-VEH	O	18
attelage	I-VEH	O	-
qui	O	O	-
venait	O	O	-
de	O	O	-
conduire	O	O	-
la	B-VEH	O	18
patache	I-VEH	O	-
fût	O	O	-
un	O	O	-
peu	O	O	-
rafraîchi	O	O	-
.	O	O	-
—	O	O	-
Cela	O	O	-
sera	O	O	-
-	O	O	-
t	O	O	-
-	O	O	-
il	O	O	-
bien	O	O	-
long	O	O	-
?	O	O	-
demanda	O	O	-
le	B-PER	O	18
laquais	I-PER	O	-
empaqueté	I-PER	O	-
de	I-PER	O	-
fourrures	I-PER	O	-
qui	O	O	-
était	O	O	-
installé	O	O	-
sur	O	O	-
le	O	O	-
siége	O	O	-
.	O	O	-
—	O	O	-
C'	O	O	-
est	O	O	-
l'	O	O	-
affaire	O	O	-
d'	O	O	-
une	B-TIME	O	18
heure	I-TIME	O	-
,	O	O	-
répondit	O	O	-
le	B-PER	O	18
postillon	I-PER	O	-
à	I-PER	O	-
demi	I-PER	O	-
débotté	I-PER	O	-
;	O	O	-
nous	O	O	-

a	O	O	-
trois	B-TIME	O	2
ans	I-TIME	O	-
,	O	O	-
il	O	O	-
arriva	O	O	-
à	O	O	-
Saint	B-GPE	O	2
-	I-GPE	O	-
Front	I-GPE	O	-
,	O	O	-
petite	O	O	-
ville	O	O	-
fort	O	O	-
laide	O	O	-
qui	O	O	-
est	O	O	-
située	O	O	-
dans	O	O	-
nos	B-LOC	O	2
environs	I-LOC	O	-
et	O	O	-
que	O	O	-
je	O	O	-
ne	O	O	-
vous	O	O	-
engage	O	O	-
pas	O	O	-
à	O	O	-
chercher	O	O	-
sur	O	O	-
la	O	O	-
carte	O	O	-
,	O	O	-
même	O	O	-
sur	O	O	-
celle	O	O	-
de	O	O	-
Cassini	B-PER	O	2
,	O	O	-
une	B-TIME	O	2
aventure	I-TIME	O	-
qui	O	O	-
fit	O	O	-
beaucoup	O	O	-
jaser	O	O	-
,	O	O	-
quoiqu'	O	O	-
elle	O	O	-
n'	O	O	-
eût	O	O	-
rien	O	O	-
de	O	O	-
bien	O	O	-
intéressant	O	O	-
par	O	O	-
elle	O	O	-
-	O	O	-
même	O	O	-
,	O	O	-
mais	O	O	-
dont	O	O	-
les	O	O	-
suites	O	O	-
,	O	O	-
furent	O	O	-
fort	O	O	-
graves	O	O	-
,	O	O	-
quoiqu'	O	O	-
on	O	O	-
n'	O	O	-
en	O	O	-
ait	O	O	-
rien	O	O	-
su	O	O	-
.	O	O	-
C'	O	O	-
était	O	O	-
par	O	O	-
une	B-TIME	O	2
nuit	I-TIME	O	-
sombre	I-TIME	O	-
et	O	O	-
par	O	O	-
une	O	O	-
