II	O	O
.	O	O

L'	O	O
alba	O	O
vinceva	O	O
l'	O	O
ora	O	O
mattutina	O	O
Che	O	O
fuggia	O	O
innanzi	O	O
,	O	O
si	O	O
che	O	O
di	O	O
lontano	O	O
Conobbi	O	O
il	O	O
tremolar	O	O
della	O	O
marina	O	O
…	O	O
	O	O
PURG	O	O
.	O	O

I	O	O
.	O	O

Les	O	O
Krafft	O	O
étaient	O	O
originaires	O	O
d'	O	O
Anvers	O	O
.	O	O

Le	O	O
vieux	O	O
Jean	O	O
-	O	O
Michel	O	O
avait	B-EVENT	O
quitté	E-EVENT	O
le	O	O
pays	O	O
,	O	O
à	O	O
la	O	O
suite	O	O
de	O	O
frasques	S-EVENT	O
de	O	O
jeunesse	O	O
,	O	O
d'	O	O
une	O	O
rixe	S-EVENT	O
violente	O	O
,	O	O
comme	O	O
il	O	O
en	O	O
avait	O	O
souvent	O	O
,	O	O
–	O	O
	O	O
car	O	O
il	O	O
était	O	O
diablement	O	O
batailleur	O	O
,	O	O
–	O	O
	O	O
et	O	O
qui	O	O
avait	B-EVENT	O
eu	E-EVENT	O
cette	O	O
fois	O	O
un	O	O
fâcheux	S-EVENT	O
dénouement	S-EVENT	O
.	O	O

Il	O	O
était	B-EVENT	O
venu	I-EVENT	O
s'	I-EVENT	O
établir	E-EVENT	O
,	O	O
presque	O	O
un	O	O
demi	O	O
-	O	O
siècle	O	O
avant	O	O
,	O	O
dans	O	O
la	O	O
petite	O	O
ville	O	O
princière	O	O
,	O	O
dont	O	O
les	O	O
toits	O	O
rouges	O	O
aux	O	O
faites	O	O
pointus	O	O
et	O	O
les	O	O
jardins	O	O
ombreux	O	O
,	O	O
étagés	O	O
sur	O	O
la	O	O
pente	O	O
d'	O	O
une	O	O
molle	O	O
colline	O	O
,	O	O
se	O	O
mirent	O	O
dans	O	O
les	O	O
yeux	O	O
vert	O	O
pâle	O	O
du	O	O
Vater	O	O
Rhein	O	O
.	O	O

Excellent	O	O
musicien	O	O
,	O	O
il	O	O
s'	B-EVENT	O
était	I-EVENT	O
fait	E-EVENT	O
promptement	O	O
apprécier	S-EVENT	O
dans	O	O
un	O	O
pays	O	O
où	O	O
tous	O	O
sont	O	O
musiciens	O	O
.	O	O

Il	O	O
y	O	O
avait	B-EVENT	O
pris	I-EVENT	O
racine	E-EVENT	O
en	B-EVENT	O
épousant	E-EVENT	O
,	O	O
à	O	O
quarante	O	O
ans	O	O
passés	O	O
,	O	O
Clara	O	O
Sartorius	O	O
,	O	O
la	O	O
fille	O	O
du	O	O
maître	O	O
de	O	O
chapelle	O	O
du	O	O
prince	O	O
,	O	O
qui	O	O
lui	O	O
transmit	S-EVENT	O
sa	O	O
charge	O	O
.	O	O

Clara	O	O
était	O	O
une	O	O
Allemande	O	O
placide	O	O
qui	O	O
avait	O	O
deux	O	O
passions	O	O
:	O	O
la	O	O
cuisine	O	O
et	O	O
la	O	O
musique	O	O
.	O	O

Elle	O	O
eut	S-EVENT	O
pour	O	O
son	O	O
mari	O	O
un	O	O
culte	S-EVENT	O
qu'	O	O
égalait	S-EVENT	O
seul	O	O
celui	O	O
qu'	O	O
elle	O	O
avait	O	O
pour	O	O
son	O	O
père	O	O
.	O	O

Jean	O	O
-	O	O
Michel	O	O
n'	O	O
admirait	S-EVENT	O
pas	O	O
moins	O	O
sa	O	O
femme	O	O
.	O	O

Ils	O	O
avaient	O	O
vécu	O	O
en	O	O
parfait	O	O
accord	O	O
,	O	O
pendant	O	O
quinze	O	O
ans	O	O
;	O	O
et	O	O
ils	O	O
avaient	B-EVENT	O
eu	E-EVENT	O
quatre	O	O
enfants	O	O
.	O	O

Puis	O	O
Clara	O	O
était	B-EVENT	O
morte	E-EVENT	O
;	O	O
et	O	O
Jean	O	O
-	O	O
Michel	O	O
,	O	O
après	O	O
l'	O	O
avoir	B-EVENT	O
beaucoup	I-EVENT	O
