II	O	O	O	-
.	O	O	O	-
L'	O	O	O	-
alba	O	O	O	-
vinceva	O	O	O	-
l'	O	O	O	-
ora	O	O	O	-
mattutina	O	O	O	-
Che	O	O	O	-
fuggia	O	O	O	-
innanzi	O	O	O	-
,	O	O	O	-
si	O	O	O	-
che	O	O	O	-
di	O	O	O	-
lontano	O	O	O	-
Conobbi	O	O	O	-
il	O	O	O	-
tremolar	O	O	O	-
della	O	O	O	-
marina	O	O	O	-
…	O	O	O	-
PURG	O	O	O	-
.	O	O	O	-
I	O	O	O	-
.	O	O	O	-
Les	B-PER	O	O	27
Krafft	I-PER	O	O	-
étaient	O	O	O	-
originaires	O	O	O	-
d'	O	O	O	-
Anvers	B-GPE	O	O	27
.	O	O	O	-
Le	B-PER	O	O	27
vieux	I-PER	O	O	-
Jean	I-PER	O	O	-
-	I-PER	O	O	-
Michel	I-PER	O	O	-
avait	O	O	O	-
quitté	O	O	O	-
le	B-GPE	O	O	27
pays	I-GPE	O	O	-
,	O	O	O	-
à	O	O	O	-
la	O	O	O	-
suite	O	O	O	-
de	O	O	O	-
frasques	O	O	O	-
de	O	O	O	-
jeunesse	O	O	O	-
,	O	O	O	-
d'	O	O	O	-
une	O	O	O	-
rixe	O	O	O	-
violente	O	O	O	-
,	O	O	O	-
comme	O	O	O	-
il	O	O	O	-
en	O	O	O	-
avait	O	O	O	-
souvent	O	O	O	-
,	O	O	O	-
–	O	O	O	-
car	O	O	O	-
il	O	O	O	-
était	O	O	O	-
diablement	O	O	O	-
batailleur	O	O	O	-
,	O	O	O	-
–	O	O	O	-
et	O	O	O	-
qui	O	O	O	-
avait	O	O	O	-
eu	O	O	O	-
cette	O	O	O	-
fois	O	O	O	-
un	O	O	O	-
fâcheux	O	O	O	-
dénouement	O	O	O	-
.	O	O	O	-
Il	O	O	O	-
était	O	O	O	-
venu	O	O	O	-
s'	O	O	O	-
établir	O	O	O	-
,	O	O	O	-
presque	O	O	O	-
un	B-TIME	O	O	27
demi	I-TIME	O	O	-
-	I-TIME	O	O	-
siècle	I-TIME	O	O	-
avant	O	O	O	-
,	O	O	O	-
dans	O	O	O	-
la	B-LOC	O	O	27
petite	I-LOC	O	O	-
ville	I-LOC	O	O	-
princière	I-LOC	O	O	-
,	O	O	O	-
dont	O	O	O	-
les	O	O	O	-
toits	O	O	O	-
rouges	O	O	O	-
aux	O	O	O	-
faites	O	O	O	-
pointus	O	O	O	-
et	O	O	O	-
les	O	O	B-FAC	27
jardins	O	O	I-FAC	-
ombreux	O	O	I-FAC	-
,	O	O	I-FAC	-
étagés	O	O	I-FAC	-
sur	O	O	I-FAC	-
la	O	B-LOC	I-FAC	27
pente	O	I-LOC	I-FAC	-
d'	O	I-LOC	I-FAC	-
une	B-LOC	I-LOC	I-FAC	27
molle	I-LOC	I-LOC	I-FAC	-
colline	I-LOC	I-LOC	I-FAC	-
,	O	O	O	-
se	O	O	O	-
mirent	O	O	O	-
dans	O	O	O	-
les	O	O	O	-
yeux	O	O	O	-
vert	O	O	O	-
pâle	O	O	O	-
du	B-PER	O	O	27
Vater	I-PER	O	O	-
Rhein	I-PER	O	O	-
.	O	O	O	-
Excellent	O	O	O	-
musicien	O	O	O	-
,	O	O	O	-
il	O	O	O	-
s'	O	O	O	-
était	O	O	O	-
fait	O	O	O	-
promptement	O	O	O	-
apprécier	O	O	O	-
dans	O	O	O	-
un	B-LOC	O	O	27
pays	I-LOC	O	O	-
où	O	O	O	-
tous	O	O	O	-
sont	O	O	O	-
musiciens	B-PER	O	O	27
.	O	O	O	-
Il	O	O	O	-
y	O	O	O	-
avait	O	O	O	-
pris	O	O	O	-
racine	O	O	O	-
en	O	O	O	-
épousant	O	O	O	-
,	O	O	O	-
à	O	O	O	-
quarante	O	O	O	-
ans	O	O	O	-
passés	O	O	O	-
,	O	O	O	-
Clara	B-PER	O	O	27
Sartorius	I-PER	O	O	-
,	O	O	O	-
la	O	O	O	-
fille	O	O	O	-
du	O	O	B-PER	27
maître	O	O	I-PER	-
de	O	O	I-PER	-
chapelle	O	B-FAC	I-PER	27
du	B-PER	I-FAC	I-PER	27
prince	I-PER	I-FAC	I-PER	-
,	O	O	O	-
qui	O	O	O	-
lui	O	O	O	-
transmit	O	O	O	-
sa	O	O	O	-
charge	O	O	O	-
.	O	O	O	-
Clara	B-PER	O	O	27
était	O	O	O	-
une	B-PER	O	O	27
Allemande	I-PER	O	O	-
placide	I-PER	O	O	-
qui	O	O	O	-
avait	O	O	O	-
deux	O	O	O	-
passions	O	O	O	-
:	O	O	O	-
la	O	O	O	-
cuisine	O	O	O	-
et	O	O	O	-
la	O	O	O	-
musique	O	O	O	-
.	O	O	O	-
Elle	O	O	O	-
eut	O	O	O	-
pour	O	O	O	-
son	B-PER	O	O	27
mari	I-PER	O	O	-
un	O	O	O	-
culte	O	O	O	-
qu'	O	O	O	-
égalait	O	O	O	-
seul	O	O	O	-
celui	O	O	O	-
qu'	O	O	O	-
elle	O	O	O	-
avait	O	O	O	-
pour	O	O	O	-
son	B-PER	O	O	27
père	I-PER	O	O	-
.	O	O	O	-
Jean	B-PER	O	O	27
-	I-PER	O	O	-
Michel	I-PER	O	O	-
n'	O	O	O	-
admirait	O	O	O	-
pas	O	O	O	-
moins	O	O	O	-
sa	B-PER	O	O	27
femme	I-PER	O	O	-
.	O	O	O	-
Ils	O	O	O	-
avaient	O	O	O	-
vécu	O	O	O	-
en	O	O	O	-
parfait	O	O	O	-
accord	O	O	O	-
,	O	O	O	-
pendant	O	O	O	-
quinze	B-TIME	O	O	27
ans	I-TIME	O	O	-
;	O	O	O	-
et	O	O	O	-
ils	O	O	O	-
avaient	O	O	O	-
eu	O	O	O	-
quatre	B-PER	O	O	27
enfants	I-PER	O	O	-
.	O	O	O	-
Puis	O	O	O	-
Clara	B-PER	O	O	27
était	O	O	O	-
morte	O	O	O	-
;	O	O	O	-
et	O	O	O	-
Jean	B-PER	O	O	27
-	I-PER	O	O	-
Michel	I-PER	O	O	-
,	O	O	O	-
après	O	O	O	-
l'	O	O	O	-
avoir	O	O	O	-
beaucoup	O	O	O	-
pleurée	O	O	O	-

Conobbi	O	O	O	-
il	O	O	O	-
tremolar	O	O	O	-
della	O	O	O	-
marina	O	O	O	-
…	O	O	O	-
PURG	O	O	O	-
.	O	O	O	-
I	O	O	O	-
.	O	O	O	-
Les	B-PER	O	O	11
Krafft	I-PER	O	O	-
étaient	O	O	O	-
originaires	O	O	O	-
d'	O	O	O	-
Anvers	B-GPE	O	O	11
.	O	O	O	-
Le	B-PER	O	O	11
vieux	I-PER	O	O	-
Jean	I-PER	O	O	-
-	I-PER	O	O	-
Michel	I-PER	O	O	-
avait	O	O	O	-
quitté	O	O	O	-
le	B-GPE	O	O	11
pays	I-GPE	O	O	-
,	O	O	O	-
à	O	O	O	-
la	O	O	O	-
suite	O	O	O	-
de	O	O	O	-
frasques	O	O	O	-
de	O	O	O	-
jeunesse	O	O	O	-
,	O	O	O	-
d'	O	O	O	-
une	O	O	O	-
rixe	O	O	O	-
violente	O	O	O	-
,	O	O	O	-
comme	O	O	O	-
il	O	O	O	-
en	O	O	O	-
avait	O	O	O	-
souvent	O	O	O	-
,	O	O	O	-
–	O	O	O	-
car	O	O	O	-
il	O	O	O	-
était	O	O	O	-
diablement	O	O	O	-
batailleur	O	O	O	-
,	O	O	O	-
–	O	O	O	-
et	O	O	O	-
qui	O	O	O	-
avait	O	O	O	-
eu	O	O	O	-
cette	O	O	O	-
fois	O	O	O	-
un	O	O	O	-
fâcheux	O	O	O	-
dénouement	O	O	O	-
.	O	O	O	-
Il	O	O	O	-
était	O	O	O	-
venu	O	O	O	-
s'	O	O	O	-
établir	O	O	O	-
,	O	O	O	-
presque	O	O	O	-
un	B-TIME	O	O	11
demi	I-TIME	O	O	-
-	I-TIME	O	O	-
siècle	I-TIME	O	O	-
avant	O	O	O	-
,	O	O	O	-
dans	O	O	O	-
la	B-LOC	O	O	11
petite	I-LOC	O	O	-
ville	I-LOC	O	O	-
princière	I-LOC	O	O	-
,	O	O	O	-
dont	O	O	O	-
les	O	O	O	-
toits	O	O	O	-
rouges	O	O	O	-
aux	O	O	O	-
faites	O	O	O	-
pointus	O	O	O	-
et	O	O	O	-
les	O	O	B-FAC	11
jardins	O	O	I-FAC	-
ombreux	O	O	I-FAC	-
,	O	O	I-FAC	-
étagés	O	O	I-FAC	-
sur	O	O	I-FAC	-
la	O	B-LOC	I-FAC	11
pente	O	I-LOC	I-FAC	-
d'	O	I-LOC	I-FAC	-
une	B-LOC	I-LOC	I-FAC	11
molle	I-LOC	I-LOC	I-FAC	-
colline	I-LOC	I-LOC	I-FAC	-
,	O	O	O	-
se	O	O	O	-
mirent	O	O	O	-
dans	O	O	O	-
les	O	O	O	-
yeux	O	O	O	-
vert	O	O	O	-
pâle	O	O	O	-
du	B-PER	O	O	11
Vater	I-PER	O	O	-
Rhein	I-PER	O	O	-
.	O	O	O	-
Excellent	O	O	O	-
musicien	O	O	O	-
,	O	O	O	-
il	O	O	O	-
s'	O	O	O	-
était	O	O	O	-
fait	O	O	O	-
promptement	O	O	O	-
apprécier	O	O	O	-
dans	O	O	O	-
un	B-LOC	O	O	11
pays	I-LOC	O	O	-
où	O	O	O	-
tous	O	O	O	-
sont	O	O	O	-
musiciens	B-PER	O	O	11
.	O	O	O	-
Il	O	O	O	-
y	O	O	O	-
avait	O	O	O	-
pris	O	O	O	-
racine	O	O	O	-
en	O	O	O	-
épousant	O	O	O	-
,	O	O	O	-
à	O	O	O	-
quarante	O	O	O	-
ans	O	O	O	-
passés	O	O	O	-
,	O	O	O	-
Clara	B-PER	O	O	11
Sartorius	I-PER	O	O	-
,	O	O	O	-
la	O	O	O	-
fille	O	O	O	-
du	O	O	B-PER	11
maître	O	O	I-PER	-
de	O	O	I-PER	-
chapelle	O	B-FAC	I-PER	11
du	B-PER	I-FAC	I-PER	11
prince	I-PER	I-FAC	I-PER	-
,	O	O	O	-
qui	O	O	O	-
lui	O	O	O	-
transmit	O	O	O	-
sa	O	O	O	-
charge	O	O	O	-
.	O	O	O	-
Clara	B-PER	O	O	11
était	O	O	O	-
une	B-PER	O	O	11
Allemande	I-PER	O	O	-
placide	I-PER	O	O	-
qui	O	O	O	-
avait	O	O	O	-
deux	O	O	O	-
passions	O	O	O	-
:	O	O	O	-
la	O	O	O	-
cuisine	O	O	O	-
et	O	O	O	-
la	O	O	O	-
musique	O	O	O	-
.	O	O	O	-
Elle	O	O	O	-
eut	O	O	O	-
pour	O	O	O	-
son	B-PER	O	O	11
mari	I-PER	O	O	-
un	O	O	O	-
culte	O	O	O	-
qu'	O	O	O	-
égalait	O	O	O	-
seul	O	O	O	-
celui	O	O	O	-
qu'	O	O	O	-
elle	O	O	O	-
avait	O	O	O	-
pour	O	O	O	-
son	B-PER	O	O	11
père	I-PER	O	O	-
.	O	O	O	-
Jean	B-PER	O	O	11
-	I-PER	O	O	-
Michel	I-PER	O	O	-
n'	O	O	O	-
admirait	O	O	O	-
pas	O	O	O	-
moins	O	O	O	-
