MADEMOISELLE	O	-
FIFI	O	-
Le	O	-
major	O	-
,	O	-
commandant	O	-
prussien	O	-
,	O	-
comte	O	-
de	O	-
Farlsberg	O	-
,	O	-
achevait	B-EVENT	13
de	I-EVENT	-
lire	I-EVENT	-
son	O	-
courrier	O	-
,	O	-
le	O	-
dos	O	-
au	O	-
fond	O	-
d'	O	-
un	O	-
grand	O	-
fauteuil	O	-
de	O	-
tapisserie	O	-
et	O	-
ses	O	-
pieds	O	-
bottés	O	-

courrier	O	-
,	O	-
le	O	-
dos	O	-
au	O	-
fond	O	-
d'	O	-
un	O	-
grand	O	-
fauteuil	O	-
de	O	-
tapisserie	O	-
et	O	-
ses	O	-
pieds	O	-
bottés	O	-
sur	O	-
le	O	-
marbre	O	-
élégant	O	-
de	O	-
la	O	-
cheminée	O	-
,	O	-
où	O	-
ses	O	-
éperons	O	-
,	O	-
depuis	O	-
trois	O	-
mois	O	-
qu'	O	-

sur	O	-
le	O	-
marbre	O	-
élégant	O	-
de	O	-
la	O	-
cheminée	O	-
,	O	-
où	O	-
ses	O	-
éperons	O	-
,	O	-
depuis	O	-
trois	O	-
mois	O	-
qu'	O	-
il	O	-
occupait	O	-
le	O	-
château	O	-
d'	O	-
Uville	O	-
,	O	-
avaient	O	-
tracé	O	-
deux	O	-
trous	O	-
profonds	O	-
,	O	-
fouillés	O	-
un	O	-
peu	O	-

il	O	-
occupait	O	-
le	O	-
château	O	-
d'	O	-
Uville	O	-
,	O	-
avaient	O	-
tracé	O	-
deux	O	-
trous	O	-
profonds	O	-
,	O	-
fouillés	O	-
un	O	-
peu	O	-
plus	O	-
tous	O	-
les	O	-
jours	O	-
.	O	-
Une	O	-
tasse	B-EVENT	23
de	I-EVENT	-
café	I-EVENT	-
fumait	B-EVENT	23
sur	O	-
un	O	-
guéridon	O	-
de	O	-
marqueterie	O	-
maculé	O	-

plus	O	-
tous	O	-
les	O	-
jours	O	-
.	O	-
Une	O	-
tasse	B-EVENT	7
de	I-EVENT	-
café	I-EVENT	-
fumait	B-EVENT	7
sur	O	-
un	O	-
guéridon	O	-
de	O	-
marqueterie	O	-
maculé	O	-
par	O	-
les	O	-
liqueurs	O	-
,	O	-
brûlé	O	-
par	O	-
les	O	-
cigares	O	-
,	O	-
entaillé	O	-
par	O	-
le	O	-
canif	O	-
de	O	-
l'	O	-
officier	O	-

par	O	-
les	O	-
liqueurs	O	-
,	O	-
brûlé	O	-
par	O	-
les	O	-
cigares	O	-
,	O	-
entaillé	O	-
par	O	-
le	O	-
canif	O	-
de	O	-
l'	O	-
officier	O	-
conquérant	O	-
qui	O	-
,	O	-
parfois	O	-
,	O	-
s'	B-EVENT	22
arrêtant	I-EVENT	-
d'	I-EVENT	-
aiguiser	I-EVENT	-
un	O	-
crayon	O	-
,	O	-
traçait	B-EVENT	22
sur	O	-
le	O	-
meuble	O	-

conquérant	O	-
qui	O	-
,	O	-
parfois	O	-
,	O	-
s'	B-EVENT	6
arrêtant	I-EVENT	-
d'	I-EVENT	-
aiguiser	I-EVENT	-
un	O	-
crayon	O	-
,	O	-
traçait	B-EVENT	6
sur	O	-
le	O	-
meuble	O	-
gracieux	O	-
des	O	-
chiffres	B-EVENT	6
ou	O	-
des	O	-
dessins	B-EVENT	6
,	O	-
à	O	-
la	O	-
fantaisie	O	-
de	O	-
son	O	-
rêve	O	-
