Théophile	O	-
Gautier	O	-
Le	O	-
Capitaine	O	-
Fracasse	O	-
(	O	-
1863	O	-
)	O	-
I	O	-
-	O	-
Le	O	-
Château	O	-
De	O	-
La	O	-
Misère	O	-
Sur	O	-
le	O	-
revers	O	-
d'	O	-
une	O	-
de	O	-
ces	O	-
collines	O	-
décharnées	O	-
qui	O	-
bossuent	O	-
les	O	-
Landes	O	-
,	O	-
entre	O	-
Dax	O	-
et	O	-

le	O	-
revers	O	-
d'	O	-
une	O	-
de	O	-
ces	O	-
collines	O	-
décharnées	O	-
qui	O	-
bossuent	O	-
les	O	-
Landes	O	-
,	O	-
entre	O	-
Dax	O	-
et	O	-
Mont	O	-
-	O	-
de	O	-
-	O	-
Marsan	O	-
,	O	-
s'	O	-
élevait	O	-
,	O	-
sous	O	-
le	O	-
règne	O	-
de	O	-
Louis	O	-
Xiii	O	-
,	O	-

Mont	O	-
-	O	-
de	O	-
-	O	-
Marsan	O	-
,	O	-
s'	O	-
élevait	O	-
,	O	-
sous	O	-
le	O	-
règne	O	-
de	O	-
Louis	O	-
Xiii	O	-
,	O	-
une	O	-
de	O	-
ces	O	-
gentilhommières	O	-
si	O	-
communes	O	-
en	O	-
Gascogne	O	-
,	O	-
et	O	-
que	O	-
les	O	-
villageois	O	-
décorent	O	-
du	O	-
nom	O	-

une	O	-
de	O	-
ces	O	-
gentilhommières	O	-
si	O	-
communes	O	-
en	O	-
Gascogne	O	-
,	O	-
et	O	-
que	O	-
les	O	-
villageois	O	-
décorent	O	-
du	O	-
nom	O	-
de	O	-
château	O	-
.	O	-
Deux	O	-
tours	O	-
rondes	O	-
,	O	-
coiffées	O	-
de	O	-
toits	O	-
en	O	-
éteignoir	O	-
,	O	-
flanquaient	O	-
les	O	-
angles	O	-

de	O	-
château	O	-
.	O	-
Deux	O	-
tours	O	-
rondes	O	-
,	O	-
coiffées	O	-
de	O	-
toits	O	-
en	O	-
éteignoir	O	-
,	O	-
flanquaient	O	-
les	O	-
angles	O	-
d'	O	-
un	O	-
bâtiment	O	-
,	O	-
sur	O	-
la	O	-
façade	O	-
duquel	O	-
deux	O	-
rainures	O	-
profondément	O	-
entaillées	O	-
trahissaient	O	-
l'	O	-
existence	O	-
primitive	O	-

d'	O	-
un	O	-
bâtiment	O	-
,	O	-
sur	O	-
la	O	-
façade	O	-
duquel	O	-
deux	O	-
rainures	O	-
profondément	O	-
entaillées	O	-
trahissaient	O	-
l'	O	-
existence	O	-
primitive	O	-
d'	O	-
un	O	-
pont	O	-
-	O	-
levis	O	-
réduit	O	-
à	O	-
l'	O	-
état	O	-
de	O	-
sinécure	O	-
par	O	-
le	O	-
nivelage	O	-
du	O	-
fossé	O	-

d'	O	-
un	O	-
pont	O	-
-	O	-
levis	O	-
réduit	O	-
à	O	-
l'	O	-
état	O	-
de	O	-
sinécure	O	-
par	O	-
le	O	-
nivelage	O	-
du	O	-
fossé	O	-
,	O	-
et	O	-
donnaient	O	-
au	O	-
manoir	O	-
un	O	-
aspect	O	-
assez	O	-
féodal	O	-
,	O	-
avec	O	-
leurs	O	-
échauguettes	O	-
en	O	-
poivrière	O	-
et	O	-

,	O	-
et	O	-
donnaient	O	-
au	O	-
manoir	O	-
un	O	-
aspect	O	-
assez	O	-
féodal	O	-
,	O	-
avec	O	-
leurs	O	-
échauguettes	O	-
en	O	-
poivrière	O	-
et	O	-
leurs	O	-
girouettes	O	-
à	O	-
queue	O	-
d'	O	-
aronde	O	-
.	O	-
Une	O	-
nappe	O	-
de	O	-
lierre	O	-
enveloppant	O	-
à	O	-
demi	O	-
l'	O	-
une	O	-

leurs	O	-
girouettes	O	-
à	O	-
queue	O	-
d'	O	-
aronde	O	-
.	O	-
Une	O	-
nappe	O	-
de	O	-
lierre	O	-
enveloppant	O	-
à	O	-
demi	O	-
l'	O	-
une	O	-
des	O	-
tours	O	-
tranchait	O	-
heureusement	O	-
par	O	-
son	O	-
vert	O	-
sombre	O	-
sur	O	-
le	O	-
ton	O	-
gris	O	-
de	O	-
la	O	-
pierre	O	-
déjà	O	-

des	O	-
tours	O	-
tranchait	O	-
heureusement	O	-
par	O	-
son	O	-
vert	O	-
sombre	O	-
sur	O	-
le	O	-
ton	O	-
gris	O	-
de	O	-
la	O	-
pierre	O	-
déjà	O	-
vieille	O	-
à	O	-
cette	O	-
époque	O	-
.	O	-
Le	O	-
voyageur	O	-
qui	O	-
eût	O	-
aperçu	O	-
de	O	-
loin	O	-
le	O	-
castel	O	-
dessinant	O	-
ses	O	-

vieille	O	-
à	O	-
cette	O	-
époque	O	-
.	O	-
Le	O	-
voyageur	O	-
qui	O	-
eût	O	-
aperçu	O	-
de	O	-
loin	O	-
le	O	-
castel	O	-
dessinant	O	-
ses	O	-
faîtages	O	-
pointus	O	-
sur	O	-
le	O	-
ciel	O	-
,	O	-
au	O	-
-	O	-
dessus	O	-
des	O	-
genêts	O	-
et	O	-
des	O	-
bruyères	O	-
,	O	-
l'	O	-

faîtages	O	-
pointus	O	-
sur	O	-
le	O	-
ciel	O	-
,	O	-
au	O	-
-	O	-
dessus	O	-
des	O	-
genêts	O	-
et	O	-
des	O	-
bruyères	O	-
,	O	-
l'	O	-
eût	O	-
jugé	O	-
une	O	-
demeure	O	-
convenable	O	-
pour	O	-
un	O	-
hobereau	O	-
de	O	-
province	O	-
;	O	-
mais	O	-
,	O	-
en	O	-
approchant	O	-
,	O	-

eût	O	-
jugé	O	-
une	O	-
demeure	O	-
convenable	O	-
pour	O	-
un	O	-
hobereau	O	-
de	O	-
province	O	-
;	O	-
mais	O	-
,	O	-
en	O	-
approchant	O	-
,	O	-
son	O	-
avis	O	-
se	O	-
fût	O	-
